n_clusters,n_features,damping,reg,bias_value,avg_hr,avg_ndcg
150,2000,10.0,0.0001,True,0.0020173707258170108,0.00036649303717944465
50,1000,10.0,0.01,True,0.008016138965806536,0.0
100,1000,10.0,0.01,True,0.013534811768642494,0.0
200,2000,10.0,0.0001,True,0.0027011430150963344,1.5183857991133681e-05
150,1000,10.0,0.01,True,0.013321436018796463,0.0
50,2000,5.0,0.001,True,0.0005964822097968566,1.0871227779775733e-05
100,2000,5.0,0.001,True,0.0010959754423909723,0.00045094993819464266
150,2000,5.0,0.001,True,0.0016730598567472807,8.674622923742179e-06
200,1000,10.0,0.01,True,0.012453384672831932,0.0
200,2000,5.0,0.001,True,0.0022113486802224926,0.0004001673158265606
50,2000,10.0,0.001,True,0.0005964822097968566,0.0004824829946928053
100,2000,10.0,0.001,True,0.0010911259935308352,0.0004404460718664555
150,2000,10.0,0.001,True,0.001600318123845225,0.00037754970637565624
200,2000,10.0,0.001,True,0.0023034882085650964,0.0004880737076672534
50,2000,5.0,0.01,True,0.0006061811075171306,9.066917843326001e-05
100,2000,5.0,0.01,True,0.0010426315049294648,0.0
150,2000,5.0,0.01,True,0.0009941370163280942,0.0
200,2000,5.0,0.01,True,0.0015469741863837175,0.0
50,2000,10.0,0.01,True,0.007342065574247486,0.0
100,2000,10.0,0.01,True,0.011755064036972199,0.0
150,2000,10.0,0.01,True,0.014567744375851684,0.0
200,2000,10.0,0.01,True,0.017608348811157613,0.0
